Date,Tendencia_7d,Tendencia_50d,Forca_Tendencia,Forca_Movimento,Velas_Alta_Consecutivas
2021-09-20,Baixa,Alta,1.56,-0.50,0
2021-09-21,Baixa,Alta,1.77,-0.25,0
2021-09-22,Alta,Alta,1.97,0.69,1
2021-09-23,Alta,Alta,2.09,0.70,2
2021-09-24,Alta,Alta,2.16,0.34,3
2021-09-27,Baixa,Alta,2.41,-0.66,0
2021-09-28,Baixa,Alta,2.40,-0.88,0
2021-09-29,Baixa,Baixa,2.18,-0.85,0
2021-09-30,Baixa,Baixa,1.72,-0.56,0
2021-10-01,Baixa,Baixa,1.30,0.19,1
2021-10-04,Baixa,Baixa,0.93,-0.82,0
2021-10-05,Baixa,Baixa,0.69,0.00,0
2021-10-06,Baixa,Baixa,0.64,-0.80,0
2021-10-07,Baixa,Baixa,0.60,0.03,1
2021-10-08,Baixa,Baixa,0.56,-0.36,0
2021-10-11,Baixa,Baixa,0.56,0.38,1
2021-10-12,Alta,Baixa,0.64,0.27,2
2021-10-13,Alta,Baixa,0.60,0.58,3
2021-10-14,Alta,Baixa,0.72,-0.16,0
2021-10-15,Alta,Baixa,0.72,-0.72,0
2021-10-18,Alta,Baixa,0.76,0.55,1
2021-10-19,Alta,Baixa,0.76,0.23,2
2021-10-20,Alta,Baixa,0.72,-0.72,0
2021-10-21,Alta,Baixa,0.72,0.76,1
2021-10-22,Alta,Baixa,0.56,-0.10,0
2021-10-25,Alta,Alta,0.44,0.86,1
2021-10-26,Alta,Alta,0.40,-0.31,0
2021-10-27,Alta,Baixa,0.40,-0.66,0
2021-10-28,Alta,Alta,0.20,0.50,1
2021-10-29,Alta,Alta,0.39,0.57,2
2021-11-01,Alta,Alta,0.55,0.58,3
2021-11-02,Alta,Alta,0.51,-0.55,0
2021-11-03,Alta,Alta,0.51,0.21,1
2021-11-04,Alta,Alta,0.67,0.30,2
2021-11-05,Baixa,Alta,0.63,-0.49,0
2021-11-08,Alta,Alta,0.51,0.51,1
2021-11-09,Baixa,Baixa,0.31,-0.81,0
2021-11-10,Baixa,Baixa,-0.08,-0.71,0
2021-11-11,Baixa,Baixa,-0.47,-0.11,0
2021-11-12,Baixa,Baixa,-0.90,-0.22,0
2021-11-15,Baixa,Baixa,-1.21,0.72,1
2021-11-16,Baixa,Baixa,-1.37,-0.24,0
2021-11-17,Baixa,Baixa,-1.29,-0.68,0
2021-11-18,Baixa,Baixa,-1.45,-0.83,0
2021-11-19,Baixa,Baixa,-1.50,-0.29,0
2021-11-22,Baixa,Baixa,-1.70,-0.63,0
2021-11-23,Baixa,Baixa,-1.86,0.00,0
2021-11-24,Baixa,Baixa,-2.10,0.67,1
2021-11-26,Baixa,Baixa,-2.31,0.84,2
2021-11-29,Alta,Baixa,-2.60,-0.14,0
2021-11-30,Baixa,Baixa,-2.61,-0.26,0
2021-12-01,Baixa,Baixa,-2.79,-0.72,0
2021-12-02,Baixa,Baixa,-2.92,0.46,1
2021-12-03,Baixa,Baixa,-3.14,-0.46,0
2021-12-06,Baixa,Baixa,-3.29,0.29,1
2021-12-07,Baixa,Baixa,-3.51,0.26,2
2021-12-08,Alta,Baixa,-3.41,0.39,3
2021-12-09,Baixa,Baixa,-3.22,-0.67,0
2021-12-10,Baixa,Baixa,-2.82,-0.39,0
2021-12-13,Baixa,Baixa,-2.55,-0.44,0
2021-12-14,Baixa,Baixa,-2.27,0.67,1
2021-12-15,Baixa,Baixa,-2.15,0.52,2
2021-12-16,Baixa,Baixa,-2.16,-0.64,0
2021-12-17,Alta,Baixa,-2.17,0.80,1
2021-12-20,Baixa,Baixa,-2.14,-0.75,0
2021-12-21,Alta,Baixa,-2.14,0.84,1
2021-12-22,Alta,Baixa,-2.20,0.29,2
2021-12-23,Alta,Baixa,-2.21,0.19,3
2021-12-27,Alta,Baixa,-2.26,0.34,4
2021-12-28,Baixa,Baixa,-2.27,-0.51,0
2021-12-29,Baixa,Baixa,-2.42,-0.52,0
2021-12-30,Baixa,Baixa,-2.52,0.63,1
2021-12-31,Baixa,Baixa,-2.62,-0.56,0
2022-01-03,Baixa,Baixa,-2.68,0.24,1
2022-01-04,Baixa,Baixa,-2.78,-0.42,0
2022-01-05,Baixa,Baixa,-3.02,-0.63,0
2022-01-06,Baixa,Baixa,-3.27,-0.12,0
2022-01-07,Baixa,Baixa,-3.52,-0.16,0
2022-01-10,Baixa,Baixa,-3.87,0.25,1
2022-01-11,Baixa,Baixa,-4.13,0.53,2
2022-01-12,Baixa,Baixa,-4.25,-0.42,0
2022-01-13,Baixa,Baixa,-4.43,-0.90,0
2022-01-14,Baixa,Baixa,-4.61,0.11,1
2022-01-18,Baixa,Baixa,-4.85,-0.58,0
2022-01-19,Baixa,Baixa,-5.13,-0.48,0
2022-01-20,Baixa,Baixa,-5.48,-0.28,0
2022-01-21,Baixa,Baixa,-5.58,-0.73,0
2022-01-24,Baixa,Baixa,-5.54,0.37,1
2022-01-25,Baixa,Baixa,-5.45,-0.08,0
2022-01-26,Baixa,Baixa,-5.36,-0.75,0
2022-01-27,Baixa,Baixa,-5.33,-0.85,0
2022-01-28,Baixa,Baixa,-5.33,0.41,1
2022-01-31,Alta,Baixa,-5.38,0.96,2
2022-02-01,Alta,Baixa,-5.17,-0.04,0
2022-02-02,Alta,Baixa,-5.01,-0.76,0
2022-02-03,Baixa,Baixa,-4.69,-0.56,0
2022-02-04,Baixa,Baixa,-4.46,0.57,1
2022-02-07,Baixa,Baixa,-4.45,-0.06,0
2022-02-08,Baixa,Baixa,-4.49,0.70,1
2022-02-09,Alta,Baixa,-4.47,0.92,2
2022-02-10,Alta,Baixa,-4.40,0.08,3
2022-02-11,Baixa,Baixa,-4.32,-0.34,0
2022-02-14,Baixa,Baixa,-4.07,0.20,1
2022-02-15,Alta,Baixa,-3.81,0.83,2
2022-02-16,Alta,Baixa,-3.54,0.10,3
2022-02-17,Baixa,Baixa,-3.63,-0.62,0
2022-02-18,Baixa,Baixa,-3.97,-0.63,0
2022-02-22,Baixa,Baixa,-4.30,-0.25,0
2022-02-23,Baixa,Baixa,-4.76,-0.47,0
2022-02-24,Baixa,Baixa,-4.98,0.98,1
2022-02-25,Baixa,Baixa,-5.03,-0.13,0
2022-02-28,Alta,Baixa,-4.83,-0.14,0
2022-03-01,Alta,Baixa,-4.56,0.23,1
2022-03-02,Alta,Baixa,-4.42,-0.19,0
2022-03-03,Baixa,Baixa,-4.45,-0.81,0
2022-03-04,Baixa,Baixa,-4.56,-0.72,0
2022-03-07,Baixa,Baixa,-4.74,-0.49,0
2022-03-08,Baixa,Baixa,-4.98,0.16,1
2022-03-09,Alta,Baixa,-5.10,0.32,2
2022-03-10,Alta,Baixa,-5.14,0.75,3
2022-03-11,Alta,Baixa,-5.06,-0.73,0
2022-03-14,Baixa,Baixa,-5.12,-0.67,0
2022-03-15,Baixa,Baixa,-5.17,0.52,1
2022-03-16,Alta,Baixa,-5.15,0.95,2
2022-03-17,Alta,Baixa,-5.06,0.85,3
2022-03-18,Alta,Baixa,-4.74,0.68,4
2022-03-21,Alta,Baixa,-4.21,-0.21,0
2022-03-22,Alta,Alta,-3.66,0.78,1
2022-03-23,Alta,Alta,-3.09,0.04,2
2022-03-24,Alta,Alta,-2.82,0.24,3
2022-03-25,Alta,Alta,-2.76,-0.57,0
2022-03-28,Alta,Alta,-2.54,0.69,1
2022-03-29,Alta,Alta,-2.25,0.59,2
2022-03-30,Alta,Alta,-2.02,-0.26,0
2022-03-31,Alta,Alta,-1.57,-0.40,0
2022-04-01,Alta,Alta,-1.10,0.11,1
2022-04-04,Alta,Alta,-0.55,0.94,2
2022-04-05,Baixa,Alta,-0.24,-0.68,0
2022-04-06,Baixa,Alta,0.00,-0.75,0
2022-04-07,Baixa,Alta,0.08,-0.13,0
2022-04-08,Baixa,Alta,0.32,0.00,0
2022-04-11,Baixa,Alta,0.16,0.30,1
2022-04-12,Baixa,Baixa,-0.08,-0.55,0
2022-04-13,Baixa,Alta,-0.32,0.77,1
2022-04-14,Baixa,Baixa,-0.48,-0.98,0
2022-04-18,Baixa,Baixa,-0.56,-0.38,0
2022-04-19,Alta,Alta,-0.56,0.87,1
2022-04-20,Alta,Alta,-0.48,-0.67,0
2022-04-21,Baixa,Baixa,-0.32,-0.63,0
2022-04-22,Baixa,Baixa,-0.48,-0.43,0
2022-04-25,Baixa,Baixa,-0.72,0.58,1
2022-04-26,Baixa,Baixa,-1.04,-0.86,0
2022-04-27,Baixa,Baixa,-1.44,-0.68,0
2022-04-28,Baixa,Baixa,-1.84,0.38,1
2022-04-29,Baixa,Baixa,-2.09,-0.57,0
2022-05-02,Baixa,Baixa,-2.01,0.62,1
2022-05-03,Baixa,Baixa,-1.78,-0.26,0
2022-05-04,Alta,Baixa,-1.22,0.48,1
2022-05-05,Baixa,Baixa,-0.81,-0.83,0
2022-05-06,Baixa,Baixa,-0.66,-0.83,0
2022-05-09,Baixa,Baixa,-1.15,-0.60,0
2022-05-10,Baixa,Baixa,-1.81,-0.35,0
2022-05-11,Baixa,Baixa,-2.79,-0.65,0
2022-05-12,Baixa,Baixa,-3.45,0.84,1
2022-05-13,Alta,Baixa,-3.55,0.99,2
2022-05-16,Alta,Baixa,-3.41,-0.31,0
2022-05-17,Alta,Baixa,-3.10,0.58,1
2022-05-18,Alta,Baixa,-2.70,-0.39,0
2022-05-19,Alta,Baixa,-2.55,0.54,1
2022-05-20,Alta,Baixa,-2.74,-0.26,0
2022-05-23,Baixa,Baixa,-2.75,0.00,0
2022-05-24,Baixa,Baixa,-2.85,-0.69,0
2022-05-25,Baixa,Baixa,-2.86,0.86,1
2022-05-26,Alta,Baixa,-2.88,0.83,2
2022-05-27,Alta,Baixa,-2.81,0.83,3
2022-05-31,Alta,Baixa,-3.01,-0.54,0
2022-06-01,Alta,Baixa,-3.20,-0.43,0
2022-06-02,Alta,Baixa,-3.40,0.82,1
2022-06-03,Alta,Baixa,-3.60,-0.26,0
2022-06-06,Alta,Baixa,-3.80,-0.30,0
2022-06-07,Alta,Baixa,-3.74,0.59,1
2022-06-08,Alta,Baixa,-3.86,0.00,0
2022-06-09,Baixa,Baixa,-4.16,-0.92,0
2022-06-10,Baixa,Baixa,-4.38,-0.50,0
2022-06-13,Baixa,Baixa,-4.70,-0.70,0
2022-06-14,Baixa,Baixa,-5.21,0.21,1
2022-06-15,Baixa,Baixa,-5.64,0.42,2
2022-06-16,Baixa,Baixa,-5.89,-0.41,0
2022-06-17,Alta,Baixa,-5.76,0.84,1
2022-06-21,Alta,Baixa,-5.43,0.24,2
2022-06-22,Alta,Baixa,-5.09,0.59,3
2022-06-23,Alta,Alta,-4.45,0.67,4
2022-06-24,Alta,Alta,-3.69,0.92,5
2022-06-27,Alta,Alta,-3.42,-0.82,0
2022-06-28,Alta,Alta,-3.34,-0.38,0
2022-06-29,Baixa,Alta,-3.05,-0.34,0
2022-06-30,Baixa,Baixa,-3.28,0.11,1
2022-07-01,Baixa,Alta,-3.51,0.40,2
2022-07-05,Alta,Alta,-3.43,0.85,3
2022-07-06,Alta,Alta,-3.13,-0.37,0
2022-07-07,Alta,Alta,-3.04,0.79,1
2022-07-08,Alta,Alta,-2.41,0.45,2
2022-07-11,Baixa,Alta,-1.88,-0.91,0
2022-07-12,Baixa,Alta,-1.66,-0.25,0
2022-07-13,Baixa,Alta,-1.45,0.12,1
2022-07-14,Baixa,Alta,-1.46,-0.77,0
2022-07-15,Baixa,Alta,-1.57,0.06,1
2022-07-18,Baixa,Alta,-1.69,-0.50,0
2022-07-19,Alta,Alta,-1.58,0.40,1
2022-07-20,Alta,Alta,-1.24,0.88,2
2022-07-21,Alta,Alta,-0.11,0.22,3
2022-07-22,Alta,Alta,0.80,-0.61,0
2022-07-25,Alta,Alta,1.83,-0.45,0
2022-07-26,Baixa,Alta,2.52,-0.93,0
2022-07-27,Alta,Alta,2.86,0.66,1
2022-07-28,Alta,Alta,2.62,0.22,2
2022-07-29,Alta,Alta,2.49,0.79,3
2022-08-01,Alta,Alta,2.36,0.38,4
2022-08-02,Alta,Alta,2.46,0.62,5
2022-08-03,Alta,Alta,2.67,0.40,6
2022-08-04,Alta,Alta,2.99,0.34,7
2022-08-05,Alta,Alta,3.42,0.57,8
2022-08-08,Baixa,Alta,3.18,0.07,9
2022-08-09,Baixa,Baixa,2.84,-0.52,0
2022-08-10,Baixa,Alta,2.39,0.24,1
2022-08-11,Baixa,Baixa,1.72,-0.52,0
2022-08-12,Baixa,Alta,1.17,0.65,1
2022-08-15,Baixa,Alta,0.96,0.26,2
2022-08-16,Alta,Alta,0.96,-0.21,0
2022-08-17,Baixa,Baixa,0.85,-0.45,0
2022-08-18,Baixa,Baixa,0.74,-0.77,0
2022-08-19,Baixa,Baixa,0.32,-0.92,0
2022-08-22,Baixa,Baixa,0.00,-0.74,0
2022-08-23,Baixa,Baixa,-0.21,-0.32,0
2022-08-24,Baixa,Baixa,-0.21,0.16,1
2022-08-25,Baixa,Baixa,-0.11,0.53,2
2022-08-26,Baixa,Baixa,0.00,-0.96,0
2022-08-29,Baixa,Baixa,0.21,-0.04,0
2022-08-30,Baixa,Baixa,0.11,-0.48,0
2022-08-31,Baixa,Baixa,-0.21,-0.77,0
2022-09-01,Baixa,Baixa,-0.63,-0.30,0
2022-09-02,Baixa,Baixa,-1.05,-0.84,0
2022-09-06,Baixa,Baixa,-1.68,-0.59,0
2022-09-07,Baixa,Baixa,-2.00,0.48,1
2022-09-08,Alta,Baixa,-2.22,0.77,2
2022-09-09,Alta,Baixa,-2.22,0.61,3
2022-09-12,Alta,Baixa,-2.02,0.71,4
2022-09-13,Baixa,Baixa,-1.82,-0.71,0
2022-09-14,Alta,Baixa,-1.83,0.60,1
2022-09-15,Alta,Baixa,-1.83,0.83,2
2022-09-16,Alta,Baixa,-2.06,0.10,3
2022-09-19,Alta,Baixa,-2.28,0.79,4
2022-09-20,Baixa,Baixa,-2.29,-0.52,0
2022-09-21,Baixa,Baixa,-2.30,-0.07,0
2022-09-22,Baixa,Baixa,-2.31,-0.74,0
2022-09-23,Baixa,Baixa,-2.10,0.69,1
2022-09-26,Baixa,Baixa,-2.00,0.38,2
2022-09-27,Alta,Baixa,-1.90,-0.16,0
2022-09-28,Alta,Baixa,-1.68,0.82,1
2022-09-29,Alta,Baixa,-1.69,0.05,2
2022-09-30,Alta,Baixa,-1.92,0.23,3
2022-10-03,Alta,Baixa,-1.93,0.27,4
2022-10-04,Alta,Baixa,-1.93,-0.07,0
