Symbol,Margem_Liquida,ROE,ROA,Margem_EBITDA,PL_Historico,PL_Projetado,P_VPA,EV_EBITDA,EBITDA,DY,Divida_Liquida_EBITDA,Crescimento_Receita,Crescimento_Lucro
AIRG,-13.22,-23.23,-10.02,-7.96,,20.58,2.88,-19.18,-4081000.0,,,-4.2,
AIRJ,0.0,-28.84,-2.64,0.0,,-16.95,1.43,-22.4,-13992823.0,,,,
AIRJW,0.0,-28.84,-2.64,0.0,,,0.35,,-13992823.0,,,,
AIRO,-19.98,-2.76,-3.68,-35.04,,-39.11,0.32,-5.96,-30841000.0,,,-24.5,
AIRR,,,,,31.51,,,,,14.0,,,
AIRS,-7.39,-12.63,-1.6,4.95,,-230.0,3.24,50.42,7514000.0,,9.45,0.0,
AIRT,-2.48,-48.26,-1.74,-1.07,,,-53.12,-83.6,-2906000.0,,,-8.7,
AIRTP,-2.48,-48.26,-1.74,-1.07,57.29,,-44.46,-80.11,-2906000.0,1039.0,,-8.7,
AISP,30.25,,-27.62,0.0,21.54,70.0,-13.4,,,,,15.5,
AISPW,30.25,,-27.62,0.0,,,-4.31,,,,,15.5,
AIXC,0.0,-237.0,-42.52,-259.27,,,-1.71,-0.25,-11164868.0,,,,
AIXI,0.0,,-119.07,0.0,,-5.59,-0.03,-0.52,-96516480.0,,,-97.8,
AKAM,10.2,9.17,3.39,26.88,40.5,16.79,3.55,19.5,1146972032.0,,5.12,5.8,-13.4
AKAN,0.0,,-44.15,0.0,,,-2.98,-5.37,-4703419.0,,,,
AKBA,-8.83,-78.95,2.02,5.22,,-5.79,10.78,27.2,12130000.0,,16.28,-6.6,
AKTS,0.0,,,0.0,,-13.94,2.95,-12.59,-76750000.0,,,123.0,
ALAB,26.72,21.11,10.07,23.3,270.08,93.47,45.52,286.69,233384992.0,,0.18,93.4,144.4
ALAR,2.53,3.77,1.08,2.3,84.5,65.0,1.84,47.76,1043500.0,,2.45,64.2,0.0
ALBG,,,,,,,,,,,,,
ALBT,0.0,-501.2,-39.69,0.0,,,-0.2,-4.04,-7869612.0,,,,
ALCO,-115.0,-15.79,22.4,449.72,,-22.79,2.99,4.62,73840000.0,49.0,1.16,-70.3,
ALDF,0.0,,,0.0,50.86,,762.86,,,,,,-15.3
ALDFU,0.0,,,0.0,,,772.14,,,,,,-15.3
ALDFW,0.0,,,0.0,,,21.44,,,,,,-15.3
ALDX,0.0,-51.76,-22.22,0.0,,-11.22,2.89,-2.57,-28126984.0,,,,
ALEC,0.0,-238.85,-25.71,0.0,,-2.61,19.47,-0.24,-127494000.0,,,-71.5,
ALF,0.0,,-0.14,0.0,34.06,,-5.68,,,,,,334.5
ALFUU,0.0,,-0.14,0.0,,,-5.69,,,,,,334.5
ALFUW,0.0,,-0.14,0.0,,,-0.15,,,,,,334.5
ALGM,-1.67,-1.55,1.69,11.91,,37.69,10.78,98.82,106029000.0,,2.89,26.1,
ALGN,10.5,10.82,7.33,21.74,28.32,13.62,2.91,12.49,890456000.0,,0.13,6.2,23.9
ALGS,0.0,-121.86,-55.56,0.0,,-1.41,1.1,0.17,-94589000.0,,,810.0,
ALGT,-1.3,-3.11,2.56,12.99,,9.75,1.73,8.29,342846016.0,,5.41,4.8,32.6
ALHC,0.46,12.53,2.11,1.58,216.6,29.98,21.64,60.73,67204000.0,,4.91,33.3,
ALIL,,,,,28.64,,,,,22.0,,,
ALIS,0.0,85.14,-0.39,0.0,506.75,,10135.0,,,,,,
ALISR,0.0,85.14,-0.39,0.0,,,730.0,,,,,,
ALISU,0.0,85.14,-0.39,0.0,,,10800.0,,,,,,
ALKS,9.77,9.36,4.72,17.83,53.41,30.88,4.57,32.6,278583008.0,,5.68,28.2,
ALKT,-10.55,-14.13,-3.19,-6.46,,13.34,4.35,-62.08,-30464000.0,,,28.9,
ALLO,0.0,-52.32,-25.97,0.0,,-3.03,1.82,-3.01,-175704992.0,,,,
ALLR,0.0,-87.92,-23.7,0.0,,-1.36,3.02,,,,,,
ALLT,5.68,7.23,2.22,8.72,57.15,20.74,3.14,29.87,9175000.0,,0.64,14.1,
ALLW,,,,,20.1,,,,,282.0,,,
ALM,-265.08,-70.7,-3.31,-45.68,,12.4,19.85,-217.57,-22844000.0,,,221.2,
ALMR,-49.89,,,-36.81,,-32.6,-8.93,-58.16,-32085000.0,,,98.9,
ALMS,0.0,-64.57,-58.79,0.0,,-8.3,5.5,-6.06,-435260992.0,,,-90.0,
ALMU,-115.55,-20.67,-13.7,-122.19,,-88.54,9.87,-57.19,-6349000.0,,,-2.6,
ALNT,4.25,8.24,5.15,13.07,67.15,31.01,5.35,24.41,73266000.0,17.0,2.7,4.6,52.4
ALNY,12.55,90.36,10.06,18.82,72.41,20.94,35.76,47.63,806942976.0,,3.68,96.4,
ALOT,-0.89,-1.75,2.58,7.02,,81.14,2.83,23.74,10682000.0,,3.58,4.4,
ALOV,0.0,,,0.0,,,-1242.5,,,,,,
ALOVU,0.0,,,0.0,,,-1269.37,,,,,,
ALOVW,0.0,,,0.0,,,-50.0,,,,,,
ALOY,0.0,,,0.0,,-73.73,63.9,,,,,,
ALP,0.0,-311.0,-34.26,0.0,,-9.66,0.17,0.15,-9086500.0,,,,
ALPS,,,,,,,14.44,,,,,,
ALRM,12.36,14.84,4.71,15.42,17.88,14.54,2.47,14.02,159935008.0,,3.54,11.0,-10.3
ALRS,11.46,4.98,0.51,0.0,28.93,11.29,1.33,,,280.0,,18.7,71.2
ALT,0.0,-42.75,-24.4,0.0,,-3.39,1.33,-2.81,-96103000.0,,,,
ALTI,-42.03,-12.87,-3.73,-18.93,,7.02,1.26,-19.3,-51306000.0,,,28.1,
ALTO,3.2,12.63,3.05,4.86,13.81,8.38,1.59,10.48,44538000.0,,2.05,-0.8,
ALTY,,,,,17.82,,,,,737.0,,,
ALVO,-14.36,,3.84,18.55,,20.68,-4.09,24.45,104241000.0,,13.98,-20.2,-99.0
ALVOW,-14.36,,3.84,18.55,,,-0.36,,104241000.0,,13.98,-20.2,-99.0
ALXO,0.0,-74.17,-36.76,0.0,,-3.27,1.56,-1.25,-87347000.0,,,,
ALZN,0.0,-249.97,-107.01,0.0,,-0.53,2.39,-0.36,-6939160.0,,,,
AMA,,,,,,,,,,,,,
AMAL,33.12,13.56,1.2,0.0,13.18,10.03,1.68,,,137.0,,4.7,3.7
AMAN,0.0,,,0.0,,,3366.67,,,,,,
AMAT,29.31,39.69,14.86,31.96,55.27,35.95,19.46,50.05,9274999808.0,36.0,0.78,11.4,33.5
AMBA,-17.18,-11.82,-6.35,-15.49,,57.1,4.74,-41.57,-62774000.0,,,16.9,
AMBR,-1.48,,,-1.36,155.0,,1.42,-110.18,-838250.0,,,-32.9,
AMCI,0.0,-609.27,2.56,0.0,,,9.27,,,,,-33.9,
AMCX,2.28,6.34,3.42,13.88,11.03,6.61,0.45,5.5,319176992.0,,5.77,-2.4,
AMD,13.37,8.06,3.65,19.84,172.14,39.67,13.15,112.95,7430000128.0,,0.52,37.8,91.2
AMDD,,,,,,,,,,1728.0,,,
AMDG,,,,,,,,,,251.0,,,
AMDL,,,,,,,,,,0.0,,,
AMGN,20.96,101.32,8.35,45.45,24.15,14.78,20.38,13.75,16917999616.0,290.0,3.39,5.8,4.4
AMID,,,,,29.14,,,,,35.0,,,
AMIX,0.0,-238.89,-122.33,0.0,,-0.05,0.69,0.17,-17022000.0,,,,
AMKR,6.17,10.01,4.4,16.9,49.84,35.37,4.74,17.82,1195143040.0,38.0,1.35,27.5,285.6
AMLX,0.0,-63.26,-38.79,0.0,,-12.93,6.65,-9.73,-158800000.0,,,,
AMOD,0.0,,-271.47,0.0,,,-0.11,,,,,,
AMODW,0.0,,-271.47,0.0,,,-0.0,,,,,,
AMPG,-24.82,-15.9,-8.65,-19.84,,14.31,4.05,-33.95,-5346114.0,,,48.6,
AMPGR,-24.82,-15.9,-8.65,-19.84,,,1.13,,-5346114.0,,,48.6,
AMPGZ,-24.82,-15.9,-8.65,-19.84,,,0.97,,-5346114.0,,,48.6,
AMPH,11.0,10.39,5.34,27.38,11.77,6.21,1.13,6.37,197274000.0,,3.48,0.4,-72.5
AMPL,-25.11,-35.35,-14.15,-25.8,,49.21,4.06,-7.73,-92030000.0,,,16.9,
AMRN,-15.51,-7.28,-0.5,-1.04,,16.3,0.75,-15.37,-2261000.0,,,7.4,
AMRX,4.01,,8.35,21.92,45.03,14.83,-117.32,11.82,667776000.0,,4.04,3.9,384.6
AMSC,44.73,35.56,2.1,8.37,13.65,28.07,3.57,73.82,25046000.0,,0.16,29.6,221.5
AMSF,14.27,18.27,3.17,18.01,13.3,15.52,2.45,9.25,58493000.0,507.0,0.0,10.3,-8.5
AMSS,-81.72,-243.02,-15.74,-41.81,,,-2.14,,-7458099.0,,,,
AMST,0.0,-121.49,-69.53,0.0,,,4.11,-2.04,-2923778.0,,,171.5,
AMTX,-33.76,,-6.82,-8.29,,-3.05,-0.39,-36.28,-18207000.0,,,27.4,
AMUN,,,,,,,,,,326.0,,,
AMUU,,,,,329.83,,,,,310.0,,,
AMYY,,,,,,,,,,,,,
AMZD,,,,,,,,,,372.0,,,
AMZN,12.22,24.29,6.84,20.98,31.64,23.69,5.7,16.75,155860992000.0,,1.51,16.6,74.8
AMZU,,,,,23.95,,,,,478.0,,,
AMZZ,,,,,,,,,,0.0,,,
ANAB,-11.53,-114.55,6.78,17.79,,11.35,135.38,41.61,41341000.0,,6.71,-8.0,
ANDE,1.17,9.87,2.3,2.5,18.87,11.87,1.88,13.34,274814016.0,113.0,4.76,-1.2,11547.5
ANEL,,,,,,,,,,,,,
ANGH,-90.1,-211.58,-38.02,-65.5,,,1.74,-0.37,-65047784.0,,,5.3,
ANGHW,-90.1,-211.58,-38.02,-65.5,,,0.0,,-65047784.0,,,5.3,
ANGI,1.93,2.01,2.32,11.29,11.5,5.02,0.21,3.9,115516000.0,,4.33,-3.2,
ANGL,,,,,60.97,,,,,634.0,,,
ANGO,-10.01,-17.47,-4.68,-0.21,,-56.23,2.97,-742.32,-659000.0,,,8.9,
ANIK,-9.52,-7.85,-4.14,-5.9,,31.72,1.46,-26.07,-6860000.0,,,13.2,
ANIP,9.98,18.32,4.97,21.37,20.58,7.76,3.15,10.45,197379008.0,,3.19,20.5,86.1
ANIX,0.0,-71.97,-41.91,0.0,,-8.9,6.46,,,,,,
ANL,0.0,-414.01,-42.22,0.0,,-28.34,-50.96,-12.63,-34935000.0,,,178.1,
ANNA,23.85,17.72,6.62,39.23,20.5,,3.19,8.37,13233341.0,,0.01,1349.5,
ANNAW,23.85,17.72,6.62,39.23,,,0.31,,13233341.0,,0.01,1349.5,
ANNX,0.0,-87.65,-45.29,0.0,,-5.72,4.19,-3.28,-202887008.0,,,,
ANPA,0.0,,,0.0,460.0,,22.66,,,,,,
ANSC,0.0,,-1.39,0.0,51.82,,-14.9,,,,,,-28.8
ANSCU,0.0,,-1.39,0.0,,,-15.02,,,,,,-28.8
ANSCW,0.0,,-1.39,0.0,,,-0.26,,,,,,-28.8
ANTA,22.72,23.89,0.97,23.78,7.32,66.67,1.17,35.25,20641402.0,,24.28,52.4,42.9
