Symbol,Market_Cap_Atual
AURE,46975695.12
AUROW,0.0
AUTL,441797854.76
AUUD,7026905.5
AVAH,1785592664.6
AVAV,7544203984.68
AVBH,358233960.9
AVBP,1571438070.72
AVGB,0.0
AVGG,0.0
AVGO,1808594112269.7
AVGU,0.0
AVGX,0.0
AVIR,358521403.52
AVL,0.0
AVLN,1431515637.55
AVNW,267329305.58
AVO,1034224939.97
AVOS,0.0
AVPT,2185897290.76
AVR,1000677846.84
AVS,0.0
AVT,7349357657.6
AVTX,937244148.76
AVUQ,0.0
AVX,42343662.06
AVXC,0.0
AVXL,239093135.64
AVXX,0.0
AWRE,30520968.57
AXG,524971352.4
AXGN,2376516954.56
AXIN,213210000.0
AXINR,0.0
AXINU,0.0
AXON,34903923424.08
AXPG,0.0
AXSM,12451719579.02
AXTI,5097120265.44
AYA,2610398929.29
AYTU,24149718.0
AZ,234239182.64
AZI,2144057.64
AZTA,1023260248.8
AZYY,0.0
BABU,0.0
BABX,0.0
BACC,217697245.0
BACCR,0.0
BACCU,0.0
BAER,99713118.93
BAERW,0.0
BAFE,0.0
BAFN,24958596.0
BAIG,0.0
BAIV,0.0
BALQ,0.0
BAND,1585025781.67
BANF,3761339480.13
BANFP,0.0
BANL,5566529.28
BANR,2275629506.64
BANX,189453093.96
BAOS,4281218.73
BASG,0.0
BASV,0.0
BATRA,575858016.47
BATRK,2727479241.63
BAYA,32859504.0
BAYAR,0.0
BAYAU,0.0
BBB,0.0
BBCP,558359093.6
BBCQ,299000000.0
BBCQU,0.0
BBCQW,0.0
BBGI,22826717.61
BBH,0.0
BBIO,13441957038.46
BBLG,2477458.8
BBLGW,0.0
BBNX,609158370.65
BBOT,600803280.0
BBSI,830852925.67
BBYY,0.0
BCAB,5924607.78
BCAL,653267575.44
BCAR,302181114.36
BCARU,0.0
BCARW,0.0
BCAX,1642596650.0
BCBP,185091253.62
BCDA,14884328.0
BCFN,0.0
BCG,26560006.98
BCGWW,0.0
BCIC,87261241.05
BCLO,0.0
BCML,352807311.78
BCPC,5334837969.44
BCRX,2366254364.6
BCTK,0.0
BCTX,26012363.13
BCTXL,0.0
BCTXZ,0.0
BCYC,201493124.0
BDCI,261903000.0
BDCIU,0.0
BDCIW,0.0
BDGS,0.0
BDMD,32621386.02
BDMDW,0.0
BDRX,1984663.24
BDSX,198417300.44
BDTX,92255856.14
BDVL,0.0
BDYN,0.0
BEAG,278321120.0
BEAGR,0.0
BEAGU,0.0
BEAM,3415589904.8
BEAT,38299716.15
BEATW,0.0
BEDY,0.0
BEEM,29528109.38
BEEP,74558359.84
BEEX,0.0
BEEZ,0.0
BEG,0.0
BELFA,534463502.21
BELFB,3494692636.16
BELT,0.0
BENF,49594691.96
BENFW,0.0
BESO,0.0
BETR,336185608.36
BETRW,0.0
BFC,1623498059.64
BFLX,0.0
BFRG,12237489.66
BFRGW,0.0
BFRI,13187444.32
BFRIW,0.0
BFST,965633954.4
BGC,4642222271.04
BGCG,0.0
BGDE,60071221.76
BGEG,0.0
BGGG,0.0
BGIA,0.0
BGIN,167575897.1
BGL,15926731.47
BGLC,5849899.88
BGLWW,0.0
BGM,61411941.72
BGMS,3698035.52
BGRN,0.0
BGRO,0.0
BHAV,106251000.0
BHAVR,0.0
BHAVU,0.0
BHDG,0.0
BHF,3648381805.35
BHFAL,1881790930.0
BHFAM,0.0
BHFAN,0.0
BHFAO,0.0
BHFAP,1752922780.0
BHRB,1348626515.58
BHST,70270310.2
BIAF,5277771.24
BIAFW,0.0
BIB,0.0
BIDG,0.0
BIDU,30260978106.66
BIDWU,0.0
BIIB,29112563101.23
BILI,5379981824.28
BIOA,992185022.88
BIOX,23611879.67
BIOY,0.0
BIRD,32127114.24
BIS,0.0
BITS,0.0
BIVI,14631167.66
